"","HHINCOME","VALUEH","EMPSTAT","FTOTINC","INCWELFR","POVERTY","FAMSIZE","NCHILD","MARST-MAR","MARST-SING","MARST-DIV","HIGRADE","EDUC-ELEM","EDUC-SOMEHS","EDUC-SOMECOL","EDUC-COL","EDUC-GRAD","SCHLTYPE-PUB","LANGUAGE","MIGRATE5","VETSTAT","VETWWII","VETWWI","RACESING-WH","RACESING-BL","RACESING-IN","RACESING-AS","RACESING-OT","RACESING-HI"
"GA",0,0.925925925925926,79.6296296296296,34870.6746031746,168.521164021164,19.5767195767196,339.94708994709,52.9100529100529,40.7407407407407,46.031746031746,5.02645502645503,0,25.9259259259259,14.2857142857143,36.2433862433862,8.2010582010582,8.2010582010582,8.2010582010582,0,89.6825396825397,71.6931216931217,3.17460317460317,0,66.9312169312169,30.952380952381,0.529100529100529,1.32275132275132,0.264550264550265,1.32275132275132
"HI",0,1,77.1929824561403,56439.9824561404,218.719298245614,33.3333333333333,396.491228070175,36.8421052631579,43.859649122807,47.3684210526316,5.26315789473684,0,24.5614035087719,15.7894736842105,36.8421052631579,7.01754385964912,7.01754385964912,7.01754385964912,0,89.4736842105263,70.1754385964912,5.26315789473684,0,21.0526315789474,1.75438596491228,0,77.1929824561403,0,0
"ID",0,0.971830985915493,84.5070422535211,32997.7746478873,0,11.2676056338028,336.619718309859,59.1549295774648,50.7042253521127,39.4366197183099,5.63380281690141,0,25.3521126760563,14.0845070422535,52.112676056338,4.22535211267606,4.22535211267606,4.22535211267606,0,97.1830985915493,78.8732394366197,2.8169014084507,0,94.3661971830986,1.40845070422535,4.22535211267606,0,0,5.63380281690141
"IL",0,0.968345323741007,87.6258992805755,38474.6892086331,194.136690647482,21.5827338129496,333.525179856115,61.8705035971223,45.3237410071942,41.4388489208633,5.75539568345324,0,20.431654676259,13.0935251798561,44.8920863309352,9.64028776978417,9.64028776978417,9.64028776978417,0,91.6546762589928,77.4100719424461,4.89208633093525,0,86.4748201438849,10.7913669064748,0.143884892086331,2.44604316546763,0.143884892086331,6.90647482014388
"IN",0,0.972727272727273,75.7575757575758,37460.8848484848,31.130303030303,19.3939393939394,338.484848484848,62.4242424242424,46.6666666666667,41.5151515151515,6.06060606060606,0,20.6060606060606,14.8484848484848,49.6969696969697,5.75757575757576,5.75757575757576,5.75757575757576,0,94.2424242424242,76.3636363636364,3.03030303030303,0,93.030303030303,6.96969696969697,0,0,0,0.909090909090909
"IA",0,0.964497041420118,84.0236686390533,32270.3964497041,3.69230769230769,17.7514792899408,313.01775147929,46.1538461538462,45.5621301775148,44.3786982248521,2.9585798816568,0,22.4852071005917,7.10059171597633,51.4792899408284,5.91715976331361,5.91715976331361,5.91715976331361,0,89.3491124260355,73.3727810650888,4.73372781065089,0,98.2248520710059,0.591715976331361,0.591715976331361,0.591715976331361,0,2.36686390532544
"KS",0,0.932098765432099,87.6543209876543,36912.7160493827,8.37037037037037,20.9876543209877,309.259259259259,53.7037037037037,53.7037037037037,35.1851851851852,4.93827160493827,0,19.7530864197531,5.55555555555556,53.7037037037037,8.02469135802469,8.02469135802469,8.02469135802469,0,91.9753086419753,77.7777777777778,5.55555555555556,0,94.4444444444444,3.7037037037037,0.617283950617284,0.617283950617284,0.617283950617284,1.85185185185185
"KY",0,0.903846153846154,99.5192307692308,36731.5192307692,146.269230769231,19.2307692307692,325.961538461538,53.3653846153846,47.1153846153846,41.3461538461538,6.25,0,25.4807692307692,16.8269230769231,39.9038461538462,6.25,6.25,6.25,0,90.3846153846154,73.5576923076923,3.84615384615385,0,97.1153846153846,2.40384615384615,0,0.480769230769231,0,0.480769230769231
"LA",0,0.901960784313726,98.8235294117647,29803.0392156863,101.960784313725,16.4705882352941,330.588235294118,51.7647058823529,39.2156862745098,44.3137254901961,6.27450980392157,0,20,15.6862745098039,45.8823529411765,7.84313725490196,7.84313725490196,7.84313725490196,0,94.1176470588235,79.2156862745098,3.13725490196078,0,69.0196078431373,28.2352941176471,1.17647058823529,1.56862745098039,0,0
"ME",0,0.95,97.5,32693.0125,16.5,20,306.25,45,41.25,42.5,11.25,0,21.25,17.5,38.75,7.5,7.5,7.5,0,93.75,76.25,2.5,0,98.75,0,1.25,0,0,0
"MD",0,0.993333333333333,74,48611.5966666667,102.92,34.6666666666667,333,57.3333333333333,49.6666666666667,39.3333333333333,5,0,17.6666666666667,11,44,11.6666666666667,11.6666666666667,11.6666666666667,0,92.3333333333333,79.3333333333333,4,0,74,23.3333333333333,0.333333333333333,2.33333333333333,0,3
"MA",0,0.997206703910615,85.195530726257,49255.7206703911,168.958100558659,34.3575418994413,317.597765363128,57.8212290502793,38.5474860335196,44.9720670391061,6.70391061452514,0,14.804469273743,9.21787709497207,47.7653631284916,13.4078212290503,13.4078212290503,13.4078212290503,0,92.4581005586592,80.7262569832402,3.91061452513966,0,92.4581005586592,3.07262569832402,0,3.63128491620112,0.837988826815642,4.18994413407821
"MI",0,0.950184501845018,85.0553505535055,37959.8985239852,313.409594095941,20.6642066420664,339.29889298893,59.5940959409594,43.9114391143911,42.2509225092251,6.82656826568266,0,23.4317343173432,11.2546125461255,45.7564575645756,7.19557195571956,7.19557195571956,7.19557195571956,0,92.0664206642066,72.5092250922509,2.39852398523985,0,86.3468634686347,10.8856088560886,1.1070110701107,1.29151291512915,0.3690036900369,2.76752767527675
"MN",0,0.949275362318841,65.2173913043478,36999.7862318841,62.5072463768116,16.304347826087,340.217391304348,63.4057971014493,45.2898550724638,40.9420289855072,6.15942028985507,0,25.7246376811594,7.60869565217391,46.7391304347826,8.69565217391304,8.69565217391304,8.69565217391304,0,90.2173913043478,70.2898550724638,3.26086956521739,0,97.1014492753623,0.36231884057971,1.81159420289855,0.72463768115942,0,0.36231884057971
"MS",0,0.902777777777778,93.0555555555556,26633.1736111111,127.388888888889,12.5,355.555555555556,56.25,46.5277777777778,41.6666666666667,4.86111111111111,0,30.5555555555556,15.2777777777778,39.5833333333333,4.86111111111111,4.86111111111111,4.86111111111111,0,95.1388888888889,75.6944444444444,3.47222222222222,0,63.1944444444444,35.4166666666667,0.694444444444444,0.694444444444444,0,0.694444444444444
"MO",0,0.907063197026022,90.3345724907063,37129.5464684015,65.4052044609665,19.3308550185874,329.368029739777,66.542750929368,52.4163568773234,33.457249070632,6.69144981412639,0,21.5613382899628,8.55018587360595,52.4163568773234,8.17843866171004,8.17843866171004,8.17843866171004,0,95.5390334572491,81.7843866171004,4.46096654275093,0,94.0520446096654,5.20446096654275,0.371747211895911,0.371747211895911,0,1.11524163568773
"MT",0,0.894736842105263,94.7368421052632,34701.2894736842,90.3157894736842,13.1578947368421,355.263157894737,71.0526315789474,55.2631578947368,39.4736842105263,2.63157894736842,0,23.6842105263158,13.1578947368421,47.3684210526316,10.5263157894737,10.5263157894737,10.5263157894737,0,97.3684210526316,73.6842105263158,5.26315789473684,0,97.3684210526316,0,2.63157894736842,0,0,0
"NE",0,0.901098901098901,68.1318681318681,31903.4835164835,66.8681318681319,12.0879120879121,346.153846153846,61.5384615384615,48.3516483516484,41.7582417582418,6.59340659340659,0,21.978021978022,5.49450549450549,48.3516483516484,5.49450549450549,5.49450549450549,5.49450549450549,0,90.1098901098901,68.1318681318681,3.2967032967033,0,100,0,0,0,0,3.2967032967033
"NV",0,0.969230769230769,60,43342.6153846154,79.8,23.0769230769231,315.384615384615,40,41.5384615384615,47.6923076923077,6.15384615384615,0,18.4615384615385,16.9230769230769,43.0769230769231,10.7692307692308,10.7692307692308,10.7692307692308,0,89.2307692307692,69.2307692307692,9.23076923076923,0,86.1538461538462,6.15384615384615,4.61538461538462,3.07692307692308,0,6.15384615384615
"NH",0,1,59.6153846153846,45939.7115384615,102,25,336.538461538462,69.2307692307692,36.5384615384615,46.1538461538462,11.5384615384615,0,21.1538461538462,17.3076923076923,42.3076923076923,9.61538461538462,9.61538461538462,9.61538461538462,0,92.3076923076923,75,1.92307692307692,0,98.0769230769231,0,0,1.92307692307692,0,0
"NJ",0,0.993890020366599,79.0224032586558,54644.5376782077,46.4134419551935,38.2892057026477,332.586558044807,52.3421588594705,40.9368635437882,45.213849287169,5.70264765784114,0,23.4215885947047,10.9979633401222,40.122199592668,12.2199592668024,12.2199592668024,12.2199592668024,0,92.0570264765784,75.152749490835,3.25865580448065,0,83.7067209775967,11.8126272912424,0.203665987780041,3.86965376782077,0.407331975560081,9.16496945010183
"NM",0,0.924528301886792,106.603773584906,27252.8490566038,148.952830188679,11.3207547169811,379.245283018868,61.3207547169811,39.622641509434,47.1698113207547,4.71698113207547,0,30.188679245283,8.49056603773585,38.6792452830189,9.43396226415094,9.43396226415094,9.43396226415094,0,92.4528301886792,66.0377358490566,8.49056603773585,0,88.6792452830189,1.88679245283019,9.43396226415094,0,0,45.2830188679245
"NY",0,0.984215413184773,88.6722376973073,45735.2664809656,129.513463324048,29.5264623955432,339.461467038069,62.7669452181987,43.7325905292479,42.4326833797586,5.10677808727948,0,19.1272051996286,12.4419684308264,42.8969359331476,10.213556174559,10.213556174559,10.213556174559,0,92.5719591457753,78.7372330547818,3.99257195914578,0,85.1439182915506,11.6991643454039,0.0928505106778087,2.87836583101207,0.185701021355617,8.63509749303621
