Sample ID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Auto-Status	input	filtered	denoised	merged	non-chimeric	D_0__Archaea	D_0__Bacteria	D_0__Eukaryota	Unassigned	frac_filtered	Mag-Col	IR
SC249407	PC04924	Run1	NP0084-MB4	SC249407	Study	human_1	human_1	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	135708	104058	104058	95067	84542	0	84542	0	0	37.7030094	Magnetic	Solution
SC249408	PC07578	Run3	NP0084-MB5	SC249408	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	119001	89313	89313	86257	78112	0	78100	12	0	34.36021546	Magnetic	Solution
SC249408-PC04924-C-05	PC04924	Run1	NP0084-MB4	SC249408	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	125890	83649	83649	76897	65823	0	65812	6	5	47.71387719	Magnetic	Solution
SC249408-PC04925-E-02	PC04925	Run2	NP0084-MB4	SC249408	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	91014	80339	80339	74298	65055	0	65038	10	7	28.52198563	Magnetic	Solution
SC249409	PC04924	Run1	NP0084-MB4	SC249409	Ext_Control	art_col	DZ35322	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	148484	102838	102838	95537	95463	0	95424	0	39	35.70822446	Magnetic	Solution
SC249410	PC07578	Run3	NP0084-MB5	SC249410	Study	Robogut	DZ35298	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	132761	104794	104794	103458	102444	0	102444	0	0	22.83577255	Magnetic	Solution
SC249410-PC04924-E-05	PC04924	Run1	NP0084-MB4	SC249410	Study	Robogut	DZ35298	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	142273	105834	105834	100688	95736	0	95736	0	0	32.70964976	Magnetic	Solution
SC249410-PC04925-F-02	PC04925	Run2	NP0084-MB4	SC249410	Study	Robogut	DZ35298	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	109314	97301	97301	95322	90064	0	89932	0	132	17.60982125	Magnetic	Solution
SC249411	PC07578	Run3	NP0084-MB5	SC249411	Study	human_1	human_1	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	116800	91681	91681	85907	78550	0	78550	0	0	32.74828767	Magnetic	Solution
SC249411-PC04924-F-05	PC04924	Run1	NP0084-MB4	SC249411	Study	human_1	human_1	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	142515	111330	111330	102585	92072	0	92072	0	0	35.39487072	Magnetic	Solution
SC249411-PC04925-G-02	PC04925	Run2	NP0084-MB4	SC249411	Study	human_1	human_1	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	124203	113021	113021	108696	96438	0	96438	0	0	22.3545325	Magnetic	Solution
SC249412	PC04924	Run1	NP0084-MB4	SC249412	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	153876	105640	105640	96814	83149	0	83144	0	5	45.96363306	Magnetic	Solution
SC249413	PC04924	Run1	NP0084-MB4	SC249413	Ext_Control	art_col	DZ35322	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	136246	94097	94097	86856	86659	0	86659	0	0	36.39519692	Magnetic	Solution
SC249414	PC07578	Run3	NP0084-MB5	SC249414	Study	human_1	human_1	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	111728	89026	89026	83585	76117	0	76117	0	0	31.87294143	Magnetic	Solution
SC249414-PC04924-A-06	PC04924	Run1	NP0084-MB4	SC249414	Study	human_1	human_1	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	168250	129258	129258	117849	108945	0	108941	0	4	35.24814264	Magnetic	Solution
SC249414-PC04925-H-02	PC04925	Run2	NP0084-MB4	SC249414	Study	human_1	human_1	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	98075	90052	90052	87085	77640	0	77640	0	0	20.83609483	Magnetic	Solution
SC249416-PC04924-C-06	PC04924	Run1	NP0084-MB4	SC249416	Study	human_1	human_1	sFEMB-001-R-005	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Standard	TissueLyzer	Plate	Standard	67	45	45	3	3	0	3	0	0	95.52238806	Magnetic	Solution
