Sample ID	CGR-Sample-ID	Sample-Type	GM-Rack	VC	QDNA	Yield NG
SC253845-PC04924-H-10	SC253845	Study	PC02231	70.8	6.0	422.0
SC253845-PC04925-C-09	SC253845	Study	PC02231	70.8	6.0	422.0
SC552959	SC552959	Ext.Control	PC21455	68.4	6.0	411.9
SC553057	SC553057	Ext.Control	PC21467	67.8	6.0	408.5
SC304097	SC304097	Ext.Control	PC05752	37.2	6.1	226.0
SC552993	SC552993	Study	PC21458	70.5	6.6	466.2
SC249418-PC04924-E-06	SC249418	Study	PC01720	15.8	6.6	104.4
SC249418-PC04925-B-03	SC249418	Study	PC01720	15.8	6.6	104.4
SC249411	SC249411	Study	PC01719	9.1	6.8	62.0
SC249411-PC04924-F-05	SC249411	Study	PC01719	9.1	6.8	62.0
SC249411-PC04925-G-02	SC249411	Study	PC01719	9.1	6.8	62.0
SC249382	SC249382	Study	PC01717	9.4	7.0	65.5
SC249382-PC04924-D-02	SC249382	Study	PC01717	9.4	7.0	65.5
SC249382-PC04925-F-01	SC249382	Study	PC01717	9.4	7.0	65.5
SC304927	SC304927	Ext.Control	PC05933	29.1	7.1	207.9
SC304934-PC07578-C-05	SC304934	Ext.Control	PC05934	8.2	7.4	61.2
SC304934-PC07578-D-02	SC304934	Ext.Control	PC05934	8.2	7.4	61.2
SC249360-PC04924-C-01	SC249360	Study	PC01715	17.6	7.5	131.3
SC249360-PC07578-B-09	SC249360	Study	PC01715	17.6	7.5	131.3
SC552974	SC552974	Ext.Control	PC21456	52.2	7.5	390.7
SC553038	SC553038	Study	PC21462	72.1	7.5	540.0
SC553070	SC553070	Study	PC21492	66.1	7.7	507.4
SC553033	SC553033	Ext.Control	PC21461	120.8	8.4	1011.0
SC553069	SC553069	Study	PC21492	57.3	8.5	485.7
SC553042	SC553042	Study	PC21463	64.7	8.5	548.3
SC304930	SC304930	Study	PC05933	35.4	8.8	309.9
SC552999	SC552999	Study	PC21458	63.1	8.8	556.2
SC553071	SC553071	Study	PC21492	67.2	9.2	617.8
SC553007	SC553007	Study	PC21459	40.5	9.3	378.7
SC552972	SC552972	Study	PC21456	57.7	9.4	542.5
SC249414	SC249414	Study	PC01719	15.1	9.4	142.5
SC249414-PC04924-A-06	SC249414	Study	PC01719	15.1	9.4	142.5
SC249414-PC04925-H-02	SC249414	Study	PC01719	15.1	9.4	142.5
SC253183-PC04925-A-06	SC253183	Study	PC01913	20.4	9.5	193.2
SC253183-PC07578-D-08	SC253183	Study	PC01913	20.4	9.5	193.2
SC261527	SC261527	Study	PC03133	91.2	10.4	947.6
SC553074	SC553074	Study	PC21492	64.0	10.5	671.6
SC552955	SC552955	Study	PC21455	55.4	10.5	583.9
SC552971	SC552971	Study	PC21456	45.4	10.6	480.2
SC552953	SC552953	Study	PC21455	52.4	11.0	577.3
SC249416-PC04924-C-06	SC249416	Study	PC01719	22.2	11.3	251.1
SC249416-PC04925-A-03	SC249416	Study	PC01719	22.2	11.3	251.1
SC552957	SC552957	Study	PC21455	67.9	11.6	787.1
SC552996	SC552996	Study	PC21458	70.7	11.6	822.0
SC261526-PC04925-C-11	SC261526	Study	PC03133	87.6	12.0	1052.1
SC261526-PC07578-C-11	SC261526	Study	PC03133	87.6	12.0	1052.1
SC304940	SC304940	Study	PC05934	27.8	12.0	334.5
SC553077	SC553077	Study	PC21492	72.6	12.0	873.4
SC253184-PC04925-B-06	SC253184	Study	PC01913	22.8	12.2	278.2
SC253184-PC07578-G-06	SC253184	Study	PC01913	22.8	12.2	278.2
SC253843-PC04924-F-10	SC253843	Study	PC02231	88.0	12.5	1103.5
SC253843-PC04925-B-09	SC253843	Study	PC02231	88.0	12.5	1103.5
SC253188	SC253188	Study	PC01913	27.1	12.7	345.3
SC253190	SC253190	Study	PC01913	19.3	12.9	249.4
SC253190-PC04925-G-06	SC253190	Study	PC01913	19.3	12.9	249.4
SC253190-PC04925-H-06	SC253190	Study	PC01913	19.3	12.9	249.4
SC553026	SC553026	Study	PC21460	138.6	13.0	1794.8
SC553034	SC553034	Study	PC21461	101.0	13.6	1368.6
SC553078	SC553078	Study	PC21492	76.1	13.8	1050.9
SC304090	SC304090	Study	PC05752	36.3	13.9	505.8
SC553027	SC553027	Study	PC21460	138.1	14.4	1991.6
SC553075	SC553075	Study	PC21492	68.6	14.7	1011.7
SC552994	SC552994	Study	PC21458	74.6	15.1	1124.3
SC553028	SC553028	Study	PC21460	159.1	16.3	2587.8
SC553024	SC553024	Study	PC21460	162.0	16.7	2710.3
SC553023	SC553023	Ext.Control	PC21460	165.8	17.0	2811.6
SC553072	SC553072	Study	PC21492	65.8	17.0	1119.2
SC552951	SC552951	Study	PC21455	63.1	17.5	1107.6
SC253847-PC04924-B-11	SC253847	Study	PC02231	90.4	17.8	1605.5
SC253847-PC04925-E-09	SC253847	Study	PC02231	90.4	17.8	1605.5
SC552970	SC552970	Study	PC21456	61.9	18.2	1125.8
SC553050	SC553050	Study	PC21465	99.2	18.3	1813.8
SC552969	SC552969	Study	PC21456	60.9	19.2	1167.1
SC552958	SC552958	Study	PC21455	60.3	22.0	1327.2
SC304935-PC07578-B-10	SC304935	Study	PC05934	23.9	22.9	548.7
SC304935-PC07578-C-06	SC304935	Study	PC05934	23.9	22.9	548.7
SC553054	SC553054	Study	PC21466	64.1	23.4	1497.7
SC552956	SC552956	Study	PC21455	56.9	24.3	1385.0
SC553062	SC553062	Study	PC21468	166.4	24.9	4137.1
SC261531-PC04925-G-11	SC261531	Study	PC03134	92.0	25.5	2346.9
SC261531-PC07578-G-11	SC261531	Study	PC03134	92.0	25.5	2346.9
SC553066	SC553066	Study	PC21491	70.7	26.0	1836.9
SC249448	SC249448	Study	PC01722	23.0	27.7	637.8
SC249448-PC04924-H-09	SC249448	Study	PC01722	23.0	27.7	637.8
SC249448-PC04925-A-11	SC249448	Study	PC01722	23.0	27.7	637.8
SC249448-PC04925-D-05	SC249448	Study	PC01722	23.0	27.7	637.8
SC249361-PC04924-D-01	SC249361	Study	PC01715	25.0	27.9	696.3
SC249361-PC04925-A-10	SC249361	Study	PC01715	25.0	27.9	696.3
SC249361-PC04925-B-01	SC249361	Study	PC01715	25.0	27.9	696.3
SC552978	SC552978	Study	PC21457	66.5	28.8	1915.8
SC552967	SC552967	Study	PC21456	66.9	29.2	1955.5
SC261532-PC04925-D-11	SC261532	Study	PC03134	92.0	29.6	2721.4
SC261532-PC07578-D-11	SC261532	Study	PC03134	92.0	29.6	2721.4
SC253199-PC04925-A-08	SC253199	Study	PC01914	25.0	29.6	740.8
SC253199-PC04925-B-08	SC253199	Study	PC01914	25.0	29.6	740.8
