Sample ID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Mag-Col	IR
SC261515-PC04925-H-11	PC04925_H_11	180112_M03599_0134_000000000-BFD9Y	NP0084-MB4	SC261515	Study	human_1	human_1	sFEMB-001-R-012	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC261515-PC07578-H-11	PC07578_H_11	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC261515	Study	human_1	human_1	sFEMB-001-R-012	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC261517-PC04925-B-11	PC04925_B_11	180112_M03599_0134_000000000-BFD9Y	NP0084-MB4	SC261517	Study	human_1	human_1	sFEMB-001-R-012	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC261517-PC07578-F-01	PC07578_F_01	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC261517	Study	human_1	human_1	sFEMB-001-R-012	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC261523-PC04925-G-10	PC04925_G_10	180112_M03599_0134_000000000-BFD9Y	NP0084-MB4	SC261523	Study	human_1	human_1	sFEMB-001-R-012	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC261523-PC07578-G-10	PC07578_G_10	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC261523	Study	human_1	human_1	sFEMB-001-R-012	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC261516-PC04925-H-10	PC04925_H_10	180112_M03599_0134_000000000-BFD9Y	NP0084-MB4	SC261516	Study	Robogut	DZ35298	sFEMB-001-R-012	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC261516-PC07578-H-10	PC07578_H_10	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC261516	Study	Robogut	DZ35298	sFEMB-001-R-012	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC261522-PC04925-F-11	PC04925_F_11	180112_M03599_0134_000000000-BFD9Y	NP0084-MB4	SC261522	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-012	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC261522-PC07578-F-11	PC07578_F_11	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC261522	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-012	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Discard	Vertical	Tubes	Magnetic	None
SC304093	PC07578_A_04	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304093	Ext_Control	art_col	DZ35322	sFEMB-001-R-015	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304094	PC07578_A_05	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304094	Ext_Control	Ext_Blank	Water	sFEMB-001-R-015	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304099	PC07578_A_10	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304099	Ext_Control	Ext_Blank	Water	sFEMB-001-R-015	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304091	PC07578_A_02	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304091	Study	human_1	human_1	sFEMB-001-R-015	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304095	PC07578_A_06	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304095	Study	human_1	human_1	sFEMB-001-R-015	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304096	PC07578_A_07	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304096	Study	human_1	human_1	sFEMB-001-R-015	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304098	PC07578_A_08	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304098	Study	human_1	human_1	sFEMB-001-R-015	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304090	PC07578_G_04	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304090	Study	Robogut	DZ35298	sFEMB-001-R-015	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304092	PC07578_A_03	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304092	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-015	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304097	PC07578_A_09	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304097	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-015	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304926	PC07578_E_06	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304926	Ext_Control	art_col	DZ35322	sFEMB-001-R-016	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304928	PC07578_B_03	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304928	Ext_Control	Ext_Blank	Water	sFEMB-001-R-016	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304925-PC07578-B-08	PC07578_B_08	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304925	Study	human_1	human_1	sFEMB-001-R-016	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
SC304925-PC07578-D-07	PC07578_D_07	180328_M01354_0106_000000000-BFMHC	NP0084-MB5	SC304925	Study	human_1	human_1	sFEMB-001-R-016	ZymoResearch	96 MagBead DNA Extraction Kit	Manual	Standard	Vertical	Tubes	Magnetic	None
