SampleID	Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	Mag-Col	IR
SC553018	PC22190	SQ-4	NP0084-MB6	SC553018	Ext_Control	Ext_Blank	BW	sFEMB-001-R-041	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553012	PC22190	SQ-4	NP0084-MB6	SC553012	Study	H01	H01	sFEMB-001-R-041	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553014	PC22192	SQ-4	NP0084-MB6	SC553014	Study	H01	H01	sFEMB-001-R-041	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553007	PC22192	SQ-4	NP0084-MB6	SC553007	Study	Robogut	M98	sFEMB-001-R-041	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553016	PC22192	SQ-4	NP0084-MB6	SC553016	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-041	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC553017	PC22190	SQ-4	NP0084-MB6	SC553017	Ext_Control	ZymoBiomics	Z10	sFEMB-001-R-041	ZymoResearch	EX-7	Manual	Standard	Vertical	Tubes	Magnetic	None
SC552982	PC22192	SQ-4	NP0084-MB6	SC552982	Ext_Control	art_col	M16	sFEMB-001-R-039	Qiagen	EX-3	Manual	Standard	Vertical	Tubes	Column	Solution
SC552976	PC22192	SQ-4	NP0084-MB6	SC552976	Ext_Control	Ext_Blank	BW	sFEMB-001-R-039	Qiagen	EX-3	Manual	Standard	Vertical	Tubes	Column	Solution
SC552980	PC22190	SQ-4	NP0084-MB6	SC552980	Ext_Control	Ext_Blank	BW	sFEMB-001-R-039	Qiagen	EX-3	Manual	Standard	Vertical	Tubes	Column	Solution
SC552989	PC22192	SQ-4	NP0084-MB6	SC552989	Ext_Control	Ext_Blank	BW	sFEMB-001-R-039	Qiagen	EX-3	Manual	Standard	Vertical	Tubes	Column	Solution
SC552983	PC22190	SQ-4	NP0084-MB6	SC552983	Study	H01	H01	sFEMB-001-R-039	Qiagen	EX-3	Manual	Standard	Vertical	Tubes	Column	Solution
SC552985	PC22192	SQ-4	NP0084-MB6	SC552985	Study	H01	H01	sFEMB-001-R-039	Qiagen	EX-3	Manual	Standard	Vertical	Tubes	Column	Solution
SC552978	PC22192	SQ-4	NP0084-MB6	SC552978	Study	Robogut	M98	sFEMB-001-R-039	Qiagen	EX-3	Manual	Standard	Vertical	Tubes	Column	Solution
SC552987	PC22190	SQ-4	NP0084-MB6	SC552987	Ext_Control	ZymoBiomics	Z00	sFEMB-001-R-039	Qiagen	EX-3	Manual	Standard	Vertical	Tubes	Column	Solution
SC552990	PC22190	SQ-4	NP0084-MB6	SC552990	Ext_Control	ZymoBiomics	Z10	sFEMB-001-R-039	Qiagen	EX-3	Manual	Standard	Vertical	Tubes	Column	Solution
SC552988	PC22192	SQ-4	NP0084-MB6	SC552988	Ext_Control	ZymoBiomics	Z10	sFEMB-001-R-039	Qiagen	EX-3	Manual	Standard	Vertical	Tubes	Column	Solution
SC249358	PC04924	SQ-1	NP0084-MB4	SC249358	Ext_Control	art_col	M22	sFEMB-001-R-002	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249363	PC04924	SQ-1	NP0084-MB4	SC249363	Ext_Control	art_col	M22	sFEMB-001-R-002	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249366-PC04925-D-01	PC04925	SQ-2	NP0084-MB4	SC249366	Ext_Control	Ext_Blank	BW	sFEMB-001-R-002	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249366-PC07578-D-01	PC07578	SQ-3	NP0084-MB5	SC249366	Ext_Control	Ext_Blank	BW	sFEMB-001-R-002	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249367	PC04924	SQ-1	NP0084-MB4	SC249367	Ext_Control	Ext_Blank	BW	sFEMB-001-R-002	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249359-PC04924-B-01	PC04924	SQ-1	NP0084-MB4	SC249359	Study	H01	H01	sFEMB-001-R-002	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249359-PC04925-A-01	PC04925	SQ-2	NP0084-MB4	SC249359	Study	H01	H01	sFEMB-001-R-002	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249361-PC04924-D-01	PC04924	SQ-1	NP0084-MB4	SC249361	Study	H01	H01	sFEMB-001-R-002	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249361-PC04925-A-10	PC04925	SQ-2	NP0084-MB4	SC249361	Study	H01	H01	sFEMB-001-R-002	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249361-PC04925-B-01	PC04925	SQ-2	NP0084-MB4	SC249361	Study	H01	H01	sFEMB-001-R-002	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249364	PC07578	SQ-3	NP0084-MB5	SC249364	Study	H01	H01	sFEMB-001-R-002	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249364-PC04924-G-01	PC04924	SQ-1	NP0084-MB4	SC249364	Study	H01	H01	sFEMB-001-R-002	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
SC249364-PC04925-C-01	PC04925	SQ-2	NP0084-MB4	SC249364	Study	H01	H01	sFEMB-001-R-002	Qiagen	EX-1	QIASymphony	Standard	Vertical	Tubes	Magnetic	Tablet
