"","Yr","Pop","violent","murder","rape1","robbery","aggassault","propcrime","burg","larceny","mvtheft","ST","PopTotal_1970","Pop_Un18_1970","Pop_20to40_1970","Pop_40to60_1970","Pop_60Ov_1970","PopTotal_1975","Pop_Un18_1975","Pop_20to40_1975","Pop_40to60_1975","Pop_60Ov_1975","PopTotal_1980","Pop_Un18_1980","Pop_20to40_1980","Pop_40to60_1980","Pop_60Ov_1980","PopTotal_1985","Pop_Un18_1985","Pop_20to40_1985","Pop_40to60_1985","Pop_60Ov_1985","PopTotal_1990","Pop_Un18_1990","Pop_20to40_1990","Pop_40to60_1990","Pop_60Ov_1990","PopTotal_1995","Pop_Un18_1995","Pop_20to40_1995","Pop_40to60_1995","Pop_60Ov_1995"
"295",1970,617761,211,0.5,6.2,6.5,21,1672.3,286.4,1295,91,"ND",619616,40.5055711924805,23.7263079068326,20.619383618241,15.1487372824459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",1970,10652017,30279,6.6,16,145.9,115.9,3290.1,853.9,1943.5,492.8,"OH",10672784,38.6512366407865,25.4586151092349,22.5286579396716,13.361490310307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",1970,2559253,5194,5.9,15.6,54.7,126.7,2774.4,835.4,1659.6,279.3,"OK",2570926,36.335079267159,25.4245746474228,21.7908255624627,16.4495205229555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298",1970,2091385,5373,4.6,18,102.5,131.7,4431.3,1273.4,2825,332.8,"OR",2103151,36.9066700393838,25.2931910262268,22.4943905596888,15.3057483747006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299",1970,11793909,25970,5.4,11.9,108.6,94.2,1965.6,599.7,1020.7,345.2,"PA",11817397,36.0364384813339,23.7820985450518,24.6846069400901,15.4968560335241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",1970,949723,1944,3.2,3.6,78.3,119.6,4064.1,1018.9,2186.2,859,"RI",952555,35.4648288025363,25.6523770280981,23.3708289810037,15.5119651883618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",1970,2590516,7412,14.6,18,60.1,193.4,2772,1019.4,1495.5,257.1,"SC",2604662,41.180275982066,27.1231737553663,20.6665202625139,11.0300300000538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",1970,666257,616,3.8,11.1,17.1,60.5,1961.1,471.3,1396.2,93.7,"SD",667299,40.109006607233,22.5050539563224,20.9451834934565,16.4407559429881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",1970,3924164,10787,8.8,15.5,82,168.6,2120.7,806.7,1024.7,289.3,"TN",3942583,37.5687715388617,26.3380377787861,21.9497217940624,14.1434688882897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",1970,11196000,40897,11.6,20.8,136.5,196.4,3808.1,1159.9,2242.7,405.4,"TX",11260221,39.4548028853075,26.8351837854692,20.9013126829393,12.8087006462839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
