"","HHINCOME","VALUEH","EMPSTAT","FTOTINC","INCWELFR","POVERTY","FAMSIZE","NCHILD","MARST-MAR","MARST-SING","MARST-DIV","HIGRADE","EDUC-ELEM","EDUC-SOMEHS","EDUC-SOMECOL","EDUC-COL","EDUC-GRAD","SCHLTYPE-PUB","LANGUAGE","MIGRATE5","VETSTAT","VETWWII","VETWWI"
"GA",0,0.766233766233766,96.1038961038961,9217.85714285714,43.8311688311688,12.987012987013,429.230769230769,79.2307692307692,49.2307692307692,36.1538461538462,3.07692307692308,17.6923076923077,43.0769230769231,19.2307692307692,23.8461538461538,3.07692307692308,3.07692307692308,3.07692307692308,0,36.1538461538462,11.5384615384615,10.7692307692308,10.7692307692308
"HI",0,0.918918918918919,137.837837837838,11794.5945945946,0,13.5135135135135,472.413793103448,75.8620689655172,34.4827586206897,51.7241379310345,3.44827586206897,17.2413793103448,27.5862068965517,6.89655172413793,48.2758620689655,0,0,0,0,41.3793103448276,17.2413793103448,10.3448275862069,10.3448275862069
"ID",0,0.80952380952381,100,8766.66666666667,40.4761904761905,9.52380952380952,400,57.8947368421053,31.5789473684211,63.1578947368421,0,5.26315789473684,42.1052631578947,10.5263157894737,26.3157894736842,0,0,0,0,36.8421052631579,10.5263157894737,10.5263157894737,10.5263157894737
"IL",0,0.903381642512077,112.80193236715,11699.6376811594,29.2270531400966,17.6328502415459,401.805869074492,67.7200902934537,43.3408577878104,47.8555304740406,2.70880361173815,14.2212189616253,36.7945823927765,15.8013544018059,29.7968397291196,4.06320541760722,4.06320541760722,4.06320541760722,0,46.9525959367946,18.058690744921,17.8329571106095,17.8329571106095
"IN",0,0.683908045977011,85.0574712643678,10812.0689655172,2.58620689655172,12.0689655172414,419.298245614035,81.2865497076023,42.6900584795322,48.5380116959064,1.16959064327485,10.5263157894737,30.4093567251462,21.6374269005848,31.5789473684211,3.50877192982456,3.50877192982456,3.50877192982456,0,45.0292397660819,14.0350877192982,13.4502923976608,13.4502923976608
"IA",0,0.651162790697674,86.046511627907,8838.95348837209,18.0232558139535,13.953488372093,370.588235294118,70.5882352941177,50,36.2745098039216,2.94117647058824,15.6862745098039,29.4117647058824,12.7450980392157,38.2352941176471,2.94117647058824,2.94117647058824,2.94117647058824,0,42.156862745098,18.6274509803922,18.6274509803922,18.6274509803922
"KS",0,0.676056338028169,92.9577464788732,9118.30985915493,25.3521126760563,12.6760563380282,368.888888888889,108.888888888889,58.8888888888889,32.2222222222222,1.11111111111111,22.2222222222222,30,17.7777777777778,41.1111111111111,0,0,0,0,34.4444444444444,17.7777777777778,16.6666666666667,16.6666666666667
"KY",0,0.831325301204819,127.710843373494,8189.75903614458,15.6626506024096,6.02409638554217,388.311688311688,49.3506493506493,40.2597402597403,42.8571428571429,3.8961038961039,12.987012987013,49.3506493506493,6.49350649350649,19.4805194805195,5.19480519480519,5.19480519480519,5.19480519480519,0,48.0519480519481,20.7792207792208,19.4805194805195,19.4805194805195
"LA",0,0.842857142857143,105.714285714286,9021.42857142857,63.2142857142857,9.28571428571429,451.219512195122,102.439024390244,50.4065040650407,38.2113821138211,4.8780487804878,13.8211382113821,39.0243902439024,13.0081300813008,30.0813008130081,0.813008130081301,0.813008130081301,0.813008130081301,0,49.5934959349593,17.0731707317073,17.0731707317073,17.0731707317073
"ME",0,0.666666666666667,122.222222222222,7844.44444444444,36.1111111111111,0,393.939393939394,51.5151515151515,33.3333333333333,48.4848484848485,6.06060606060606,6.06060606060606,36.3636363636364,21.2121212121212,21.2121212121212,3.03030303030303,3.03030303030303,3.03030303030303,0,36.3636363636364,3.03030303030303,3.03030303030303,3.03030303030303
