Yr,Pop,violent,murder,rape1,robbery,aggassault,propcrime,burg,larceny,mvtheft
1968,778000,662,2.8,7.2,22.6,52.4,4353.2,1363.8,2483.7,505.8
1968,705000,518,2.3,8.4,11.8,51.1,2047.9,470.6,1459.1,118.2
1968,10974000,44776,8.1,16.4,211.5,172,2829.8,683.6,1705.2,441
1968,5067000,10229,4.8,14.6,101,81.4,2718.4,743.9,1562.5,411.9
1968,2748000,1882,1.7,6.8,25,35,2075.2,474.1,1436.5,164.6
1968,2303000,3463,3.7,13.2,47.5,85.8,2573.3,615.6,1752.2,205.5
1968,3229000,5317,8.9,10.2,60.1,85.4,1826.4,522.5,971.7,332.2
1968,3732000,11742,9.5,16.4,90.3,198.4,2192.7,678,1232.1,282.6
1968,979000,633,3,6.7,8.8,46.2,1617.5,513.7,970.1,133.7
1968,3757000,23405,9.3,26,275.6,312,3956.8,1301.2,2050.6,605
1968,5437000,8916,3.5,9.5,74.3,76.7,2903.9,868.3,1229,806.6
1968,8740000,37292,7.7,31.3,209.6,178.2,3743.9,1163.2,2150.5,430.2
1968,3646000,5111,2.2,10.9,81.2,45.9,2823.1,801.8,1670.2,351.1
1968,2342000,3397,9.9,7.6,13.2,114.3,942.2,313.7,556.4,72
1968,4627000,15216,8.8,23.3,153.6,143.2,3255.3,976.6,1832.3,446.4
1968,693000,610,3.3,7.2,18.2,59.3,2454,567.8,1687.7,198.4
1968,1437000,2103,2.3,7.2,49.6,87.3,2261.7,507.4,1451.8,302.4
1968,453000,1261,5.5,17.4,142.8,112.6,4183.7,1282.1,2451.9,449.7
1968,702000,279,1.4,2.7,10.3,25.4,1258.1,371.1,745.7,141.3
1968,7078000,16711,5.1,11.3,123.6,96.1,3018.2,1011.9,1487.8,518.5
1968,1015000,2543,6.4,21.1,50.5,172.5,3546.5,970.2,2245.5,330.7
1968,18113000,98515,6.5,14,330.5,192.9,4035.4,1385.3,2071.1,579
1968,5135000,18025,10.2,11.3,37.6,291.9,1655.9,539.7,962.8,153.3
1968,625000,173,1.1,4.6,5.8,16.2,1377.4,239,1057.8,80.6
1968,10591000,21228,5.3,12.4,102,80.7,2580.5,659.4,1540.9,380.2
1968,2518000,4473,6.4,15.2,49.3,106.7,2443.7,726.4,1502.1,215.2
1968,2008000,3955,3.2,17.2,76.5,100,3537,945.1,2321.3,270.6
1968,11712000,20710,4.1,10.3,85.2,77.3,1760.2,556.3,923.9,280
1968,913000,1254,2.4,3.7,49.3,81.9,3748.2,1089.6,1893.1,765.5
1968,2692000,5853,13.6,15,42.8,146,1958.2,708.5,1065.9,183.8
1968,657000,563,3.8,10.2,19.3,52.4,1667.4,430.1,1133.8,103.5
1968,3976000,8766,8.7,11.6,71.2,129,1954.2,719.7,967.1,267.4
1968,10972000,29646,10.6,14.5,82.9,162.3,3208.1,939.6,1957.1,311.4
1968,1034000,1201,2.9,11.1,33.7,68.5,3465.8,741.3,2469.2,255.2
1968,422000,157,2.6,7.3,6.2,21.1,1175.4,496,593.6,85.8
1968,4597000,12821,10.3,15.6,65.8,187.2,2608.7,786.4,1559.9,262.3
1968,3276000,6970,3.6,17.1,98.4,93.7,3752.2,1019.5,2435.6,297.1
1968,1805000,1959,5.5,4.4,25.5,73.2,1056.5,349.8,614.7,92
1968,4213000,3400,2.2,6.2,33.1,39.2,2305.6,503.8,1597.7,204.1
1968,315000,278,6.3,8.9,12.4,60.6,2461.6,545.1,1779.7,136.8
1968,199399000,595010,6.9,15.9,131.8,143.8,3071.8,932.3,1746.6,393
1969,3531000,8842,13.7,14,41,181.7,1876.2,667.2,1037.8,171.2
1969,282000,624,10.6,29.4,67.4,113.8,3658.9,870.6,2196.8,591.5
1969,1693000,5742,6,23,99.9,210.2,4885.4,1302.6,3144.2,438.6
1969,1995000,4390,9.9,17.4,44.4,148.4,1968.5,651.1,1206.5,110.9
1969,19443000,89878,7.1,36.3,201.8,217,5637.4,1676.1,3282.7,678.6
1969,2100000,6275,5.3,28.8,110.7,154,4199.4,1133.2,2559.2,507
1969,3000000,4415,2.9,8.7,56.5,79.1,3078.3,987.5,1663,427.8
1969,540000,1588,8,13.7,117.6,154.8,3207.6,877.2,1859.8,470.6
1969,798000,17038,36,97.2,1549.6,452.3,8270.9,2869.9,3998.7,1402.3
1969,6354000,29411,11.3,21.2,162.8,267.5,4279.7,1358.3,2538.4,382.9
