"Yr","Pop","violent","murder","rape1","robbery","aggassault","propcrime","burg","larceny","mvtheft","ST","PopTotal_1970"
"564",1975,12237000,47803,13.4,28,164.1,185.2,5016.5,1665.6,2963.7,387.2,"TX",NA
"565",1975,1206000,2795,2.7,20.9,79,129.2,4880.8,1187.8,3372.6,320.5,"UT",NA
"566",1975,471000,448,2.1,14.6,15.7,62.6,3386,1100,2112.1,173.9,"VT",NA
"567",1975,4967000,18917,11.5,24,138.5,206.9,4165.6,1165.7,2730.7,269.2,"VA",NA
"568",1975,3544000,13851,5.7,32.7,124,228.4,5750.1,1723.1,3641.6,385.4,"WA",NA
"569",1975,1803000,2915,7.4,9.3,45.5,99.5,1946.1,591,1228.7,126.4,"WV",NA
"570",1975,4607000,6992,3.3,10.6,73.4,64.5,3823.9,918.5,2665.4,239.9,"WI",NA
"571",1975,374000,764,10.2,17.1,49.5,127.5,3951.6,863.4,2810.7,277.5,"WY",NA
"572",1975,213124000,1039710,9.6,26.3,220.8,231.1,4810.7,1532.1,2804.8,473.7,"USA",NA
"781",1980,3861466,17320,13.2,30,132.1,273.2,4485.1,1526.7,2642.2,316.2,"AL",NA
"782",1980,440142,1919,8.9,56.8,81.8,288.5,5209.7,1259.8,3388.9,561,"AK",NA
"783",1980,2715357,17673,10.3,45.2,193.6,401.8,7519.9,2155.4,4891.2,473.3,"AZ",NA
"784",1980,2284037,7656,9.2,26.7,80.9,218.4,3475.9,1119,2169.8,187.1,"AR",NA
"785",1980,23532680,210290,14.5,58.2,384.2,436.7,6939.5,2316.5,3880,742.9,"CA",NA
"786",1980,2878407,15215,6.9,52.5,160.1,309.2,6804.9,2030.8,4325.8,448.3,"CO",NA
"787",1980,3095224,12768,4.7,21.6,218,168.1,5469.2,1700.6,3089.6,678.9,"CT",NA
"788",1980,594779,2824,6.9,24.2,137,306.7,6301.8,1630.5,4216.2,455.1,"DE",NA
"789",1980,635233,12772,31.5,69.1,1400.6,509.4,8012.2,2559.7,4890.8,561.7,"DC",NA
"790",1980,9567112,94095,14.5,56.9,355.5,556.6,7418.4,2506.8,4434.2,477.5,"FL",NA
"791",1980,5400851,29993,13.8,44.3,197.6,299.7,5048.3,1699.2,2976.6,372.4,"GA",NA
"792",1980,964680,2889,8.7,34.7,190.2,65.8,7182.8,1847.5,4723.2,612.1,"HI",NA
"793",1980,943629,2957,3.1,22.4,46.8,241.1,4468.8,1238.9,2993,236.9,"ID",NA
"794",1980,11355062,91753,10.6,34.8,367,395.6,5461.1,1559.6,3252.5,649,"IL",NA
"795",1980,5461103,20633,8.9,33.1,141.4,194.5,4552.5,1313.3,2807.1,432.2,"IN",NA
"796",1980,2907804,5826,2.2,14.3,54.9,129,4546.4,1079.5,3219.1,247.8,"IA",NA
"797",1980,2354783,9168,6.9,31.5,113.1,237.8,4989.5,1521.4,3196.4,271.7,"KS",NA
"798",1980,3641479,9711,8.8,19.2,95.2,143.5,3167.1,1040.8,1875.5,250.7,"KY",NA
"799",1980,4199542,27926,15.7,44.5,197,407.8,4788.8,1523.9,2888.4,376.5,"LA",NA
"800",1980,1123670,2173,2.8,12.9,30.8,146.8,4174.2,1182.8,2772.3,219.1,"ME",NA
"801",1980,4192211,35735,9.5,40.1,392.7,410.1,5777.7,1698,3629.2,450.5,"MD",NA
"802",1980,5728288,34444,4.1,27.3,235.5,334.4,5477.8,1740.4,2685.8,1051.6,"MA",NA
"803",1980,9228128,59014,10.2,46.6,244,338.6,6036.4,1741.3,3710.2,584.9,"MI",NA
"804",1980,4061235,9250,2.6,23.2,99.1,102.9,4571.7,1246,3029.9,295.9,"MN",NA
"805",1980,2511491,8588,14.5,24.6,81,221.7,3075.2,1179.1,1717.8,178.4,"MS",NA
"806",1980,4901288,27177,11.1,32.6,223.6,287.2,4878.6,1668.9,2795.1,414.6,"MO",NA
"807",1980,781592,1740,4,21,34,163.6,4801.9,950.6,3529.6,321.7,"MT",NA
"808",1980,1563921,3512,4.4,23.2,82.2,114.7,4080.6,915.4,2921.6,243.6,"NE",NA
"809",1980,800312,7304,20,67.2,460.6,364.9,7941.4,2906.7,4356.3,678.4,"NV",NA
"810",1980,919114,1653,2.5,17.3,42,118,4499.8,1312.9,2877,309.9,"NH",NA
"811",1980,7342164,44373,6.9,30.7,303.7,263,5797,1878.2,3189.3,729.5,"NJ",NA
"812",1980,1295474,7967,13.1,43.3,127.9,430.7,5364.1,1492.5,3521,350.6,"NM",NA
"813",1980,17506690,180235,12.7,30.9,641.3,344.6,5882,2061.6,3060.4,759.9,"NY",NA
"814",1980,5843665,26589,10.6,22.7,82.3,339.4,4185.5,1422.9,2546.4,216.1,"NC",NA
"815",1980,652437,352,1.2,9.5,7.7,35.6,2909.7,488.3,2242.2,179.2,"ND",NA
"816",1980,10766808,53646,8.1,34.3,223.7,232.2,4933.1,1466.3,3040.1,426.7,"OH",NA
"817",1980,3001252,12589,10,36.3,104.9,268.4,4633.4,1692.7,2520.6,420.2,"OK",NA
"818",1980,2610477,12802,5.1,41.5,152.4,291.4,6196.5,1748.4,4087.8,360.3,"OR",NA
"819",1980,11824220,43032,6.8,23,177.9,156.1,3372.4,1038.5,1915.5,418.3,"PA",NA
"820",1980,945835,3864,4.4,17.1,118.6,268.3,5524.1,1716.3,2964.3,843.6,"RI",NA
"821",1980,3064557,20225,11.4,37.5,118.1,493,4779.2,1670,2803.2,306,"SC",NA
