"SampleID"	"Location"	"Sample_Name"	"Project_File"	"Unique_ID"	"Worm"	"PGM_Run"	"Set"	"Triplicate"	"Cage"	"Timepoint"	"SampleType"	"Diet"	"samples"	"variable"	"value"	"se"
"55"	"Sample9"	"D10"	"Worms_04"	"PGM073_WORMS_set1"	"PGM073_BactFT_D10"	4	"PGM073"	1	"A"	1	"Day08"	"Mealworm"	"Rice_Bran"	"Sample9"	"Shannon"	1.34386965108481	NA
"56"	"Sample15"	"A10"	"Worms_09b"	"PGM074_Worms_set2"	"PGM074_BactFIT2_A10"	9	"PGM074"	2	"B"	2	"Day05"	"Mealworm"	"Apple_Slices"	"Sample15"	"Shannon"	1.75129916798593	NA
"57"	"Sample16"	"B10"	"Worms_10b"	"PGM074_Worms_set2"	"PGM074_BactFIT2_B10"	10	"PGM074"	2	"B"	2	"Day08"	"Mealworm"	"Apple_Slices"	"Sample16"	"Shannon"	1.86535801138977	NA
"58"	"Sample17"	"C10"	"Worms_11b"	"PGM074_Worms_set2"	"PGM074_BactFIT2_C10"	11	"PGM074"	2	"B"	2	"Day12"	"Mealworm"	"Apple_Slices"	"Sample17"	"Shannon"	2.98667811911073	NA
"59"	"Sample18"	"C12"	"Worms_11d"	"PGM074_Worms_set2"	"PGM074_BactFT_C12"	11	"PGM074"	2	"D"	2	"Day12"	"Mealworm"	"Apple_Slices"	"Sample18"	"Shannon"	3.05416229845035	NA
"60"	"Sample19"	"D10"	"Worms_12b"	"PGM074_Worms_set2"	"PGM074_BactFIT2_D10"	12	"PGM074"	2	"B"	2	"Day12"	"Feces"	"Apple_Slices"	"Sample19"	"Shannon"	3.05916463455175	NA
"61"	"Sample20"	"D12"	"Worms_12d"	"PGM074_Worms_set2"	"PGM074_BactFT_D12"	12	"PGM074"	2	"D"	2	"Day12"	"Feces"	"Apple_Slices"	"Sample20"	"Shannon"	2.61434806600238	NA
"62"	"Sample21"	"E10"	"Worms_13b"	"PGM074_Worms_set2"	"PGM074_BactFIT2_E10"	13	"PGM074"	2	"B"	2	"Day12"	"Mealworm"	"Apple_Slices"	"Sample21"	"Shannon"	3.3646306908078	NA
"63"	"Sample22"	"E12"	"Worms_13d"	"PGM074_Worms_set2"	"PGM074_BactFT_E12"	13	"PGM074"	2	"D"	2	"Day12"	"Mealworm"	"Apple_Slices"	"Sample22"	"Shannon"	2.82194188753908	NA
"64"	"Sample23"	"F11"	"Worms_09c"	"PGM074_Worms_set2"	"PGM074_BactFIT2_F11"	9	"PGM074"	2	"C"	2	"Day05"	"Mealworm"	"Apple_Slices"	"Sample23"	"Shannon"	1.58456315879469	NA
"65"	"Sample24"	"A11"	"Worms_04c"	"PGM074_Worms_set2"	"PGM074_BactFIT2_A11"	4	"PGM074"	2	"C"	1	"Day08"	"Mealworm"	"Rice_Bran"	"Sample24"	"Shannon"	1.81953462425757	NA
"66"	"Sample25"	"A9"	"Worms_01b"	"PGM074_Worms_set2"	"PGM074_BactFIT2_A9"	1	"PGM074"	2	"B"	1	"Day0"	"Mealworm"	"Rice_Bran"	"Sample25"	"Shannon"	1.41306886229034	NA
"67"	"Sample26"	"B11"	"Worms_05c"	"PGM074_Worms_set2"	"PGM074_BactFIT2_B11"	5	"PGM074"	2	"C"	1	"Day12"	"Mealworm"	"Rice_Bran"	"Sample26"	"Shannon"	1.14879240137952	NA
"68"	"Sample27"	"B12"	"Worms_10d"	"PGM074_Worms_set2"	"PGM074_BactFT_B12"	14	"PGM074"	2	"B"	1	"Day0"	"Mealworm"	"Rice_Bran"	"Sample27"	"Shannon"	1.36801520824317	NA
"69"	"Sample28"	"B9"	"Worms_02b"	"PGM074_Worms_set2"	"PGM074_BactFIT2_B9"	2	"PGM074"	2	"B"	1	"Day0"	"Feces"	"Rice_Bran"	"Sample28"	"Shannon"	0.900466536008786	NA
"70"	"Sample29"	"C11"	"Worms_06c"	"PGM074_Worms_set2"	"PGM074_BactFIT2_C11"	6	"PGM074"	2	"C"	1	"Day12"	"Feces"	"Rice_Bran"	"Sample29"	"Shannon"	2.71918781498984	NA
"71"	"Sample30"	"C9"	"Worms_03b"	"PGM074_Worms_set2"	"PGM074_BactFIT2_C9"	3	"PGM074"	2	"B"	1	"Day05"	"Mealworm"	"Rice_Bran"	"Sample30"	"Shannon"	1.22705603204187	NA
"72"	"Sample31"	"D11"	"Worms_07c"	"PGM074_Worms_set2"	"PGM074_BactFIT2_D11"	7	"PGM074"	2	"C"	2	"Day0"	"Mealworm"	"Rice_Bran"	"Sample31"	"Shannon"	0.743864803160006	NA
"73"	"Sample32"	"D9"	"Worms_04b"	"PGM074_Worms_set2"	"PGM074_BactFIT2_D9"	4	"PGM074"	2	"B"	1	"Day08"	"Mealworm"	"Rice_Bran"	"Sample32"	"Shannon"	1.26894107180205	NA
"74"	"Sample33"	"E11"	"Worms_08c"	"PGM074_Worms_set2"	"PGM074_BactFIT2_E11"	8	"PGM074"	2	"C"	2	"Day0"	"Feces"	"Rice_Bran"	"Sample33"	"Shannon"	0.674098868093129	NA
"75"	"Sample34"	"E9"	"Worms_05b"	"PGM074_Worms_set2"	"PGM074_BactFIT2_E9"	5	"PGM074"	2	"B"	1	"Day12"	"Mealworm"	"Rice_Bran"	"Sample34"	"Shannon"	1.81509727666351	NA
"76"	"Sample35"	"F10"	"Worms_01c"	"PGM074_Worms_set2"	"PGM074_BactFIT2_F10"	1	"PGM074"	2	"C"	1	"Day0"	"Mealworm"	"Rice_Bran"	"Sample35"	"Shannon"	2.16626014966232	NA
"77"	"Sample36"	"F12"	"Worms_14d"	"PGM074_Worms_set2"	"PGM074_BactFT_F12"	14	"PGM074"	2	"D"	1	"Day0"	"Mealworm"	"Rice_Bran"	"Sample36"	"Shannon"	1.53200163748232	NA
"78"	"Sample37"	"F9"	"Worms_06b"	"PGM074_Worms_set2"	"PGM074_BactFIT2_F9"	6	"PGM074"	2	"B"	1	"Day12"	"Feces"	"Rice_Bran"	"Sample37"	"Shannon"	2.87443155349716	NA
"79"	"Sample38"	"G10"	"Worms_02c"	"PGM074_Worms_set2"	"PGM074_BactFIT2_G10"	2	"PGM074"	2	"C"	1	"Day0"	"Feces"	"Rice_Bran"	"Sample38"	"Shannon"	1.13560826677773	NA
"80"	"Sample39"	"G9"	"Worms_07b"	"PGM074_Worms_set2"	"PGM074_BactFIT2_G9"	7	"PGM074"	2	"B"	2	"Day0"	"Mealworm"	"Rice_Bran"	"Sample39"	"Shannon"	2.98351977291743	NA
"81"	"Sample40"	"H10"	"Worms_03c"	"PGM074_Worms_set2"	"PGM074_BactFIT2_H10"	3	"PGM074"	2	"C"	1	"Day05"	"Mealworm"	"Rice_Bran"	"Sample40"	"Shannon"	2.14449169398664	NA
"82"	"Sample41"	"H9"	"Worms_08b"	"PGM074_Worms_set2"	"PGM074_BactFIT2_H9"	8	"PGM074"	2	"B"	2	"Day0"	"Feces"	"Rice_Bran"	"Sample41"	"Shannon"	0.908066358736921	NA
"83"	"Sample1"	"A11"	"Worms_09"	"PGM073_WORMS_set1"	"PGM073_BactFT_A11"	9	"PGM073"	1	"A"	2	"Day05"	"Mealworm"	"Apple_Slices"	"Sample1"	"Simpson"	0.899286549349381	NA
"84"	"Sample10"	"E10"	"Worms_05"	"PGM073_WORMS_set1"	"PGM073_BactFT_E10"	5	"PGM073"	1	"A"	1	"Day12"	"Mealworm"	"Rice_Bran"	"Sample10"	"Simpson"	0.816364490447405	NA
"85"	"Sample11"	"F10"	"Worms_06"	"PGM073_WORMS_set1"	"PGM073_BactFT_F10"	6	"PGM073"	1	"A"	1	"Day12"	"Feces"	"Rice_Bran"	"Sample11"	"Simpson"	0.910594919197857	NA
"86"	"Sample12"	"F11"	"Worms_14"	"PGM073_WORMS_set1"	"PGM073_BactFT_F11"	14	"PGM073"	1	"A"	1	"Day0"	"Mealworm"	"Rice_Bran"	"Sample12"	"Simpson"	0.844531369665496	NA
"87"	"Sample13"	"G10"	"Worms_07"	"PGM073_WORMS_set1"	"PGM073_BactFT_G10"	7	"PGM073"	1	"A"	2	"Day0"	"Mealworm"	"Rice_Bran"	"Sample13"	"Simpson"	0.773401240450562	NA
"88"	"Sample14"	"H10"	"Worms_08"	"PGM073_WORMS_set1"	"PGM073_BactFT_H10"	8	"PGM073"	1	"A"	2	"Day0"	"Feces"	"Rice_Bran"	"Sample14"	"Simpson"	0.777725493770025	NA
